INSERT INTO public.book(id, title, author,pages,  avg_rating, pub_date, format, pub_id, image)
VALUES (1,'Death To The East','Destiny Potter',416,5,'2023-12-23','Paperbacks',27,'DestinyPotter1.jpg'),
(2,'Pleasing Myself','Lucca Watson',471,4,'2018-04-30','Paperbacks',39,'LuccaWatson2.jpg'),
(3,'Bleeding At The Animals','Hailey Hines',242,5,'2022-09-12','Paperbacks',6,'HaileyHines3.jpg'),
(4,'Vanish In The Abyss','Uriel Arnold',295,1,'2016-04-18','eBook',20,'UrielArnold4.jpg'),
(5,'Dead In My End','Finley Hull',127,3,'2015-06-03','Hardcover',29,'FinleyHull5.jpg'),
(6,'Hunted By The Fires','Salem Johns',366,4,'2016-10-03','Hardcover',22,'SalemJohns6.jpg'),
(7,'Taste Of Time','Giovanna Pratt',420,1,'2023-02-05','Paperbacks',56,'GiovannaPratt7.jpg'),
(8,'Blood At The Jungle','Rowen Gardner',218,4,'2023-04-08','Paperbacks',52,'RowenGardner8.jpg'),
(9,'Force Of The City','Jordyn Nava',144,5,'2014-10-31','Paperbacks',37,'JordynNava9.jpg'),
(10,'Battle Of The Maze','Stefan Hood',366,1,'2017-06-16','eBook',69,'StefanHood10.jpg'),
(11,'Confessions Of The Country','Briana Solis',179,4,'2018-04-05','Hardcover',50,'BrianaSolis11.jpg'),
(12,'Officer Of Perfection','Ronin Dickson',126,2,'2023-02-07','Kindle',24,'RoninDickson12.jpg'),
(13,'Hunted By The Fires','Emmalynn Skinner',236,5,'2015-08-04','Kindle',56,'EmmalynnSkinner13.jpg'),
(14,'Dead In My End','Ridge Gonzales',307,5,'2020-01-07','Paperbacks',29,'RidgeGonzales14.jpg'),
(15,'Vanish In The Abyss','Hadley Snow',136,5,'2023-01-28','Kindle',61,'HadleySnow15.jpg'),
(16,'Bleeding At The Animals','Houston Rich',167,5,'2020-10-04','Kindle',26,'HoustonRich16.jpg'),
(17,'Pleasing Myself','Sunny Doyle',313,1,'2013-09-14','Paperbacks',61,'SunnyDoyle17.jpg'),
(18,'Death To The East','Kashton Fleming',429,1,'2016-05-15','Kindle',17,'KashtonFleming18.jpg'),
(19,'Leading The Demons','Fatima Boyle',376,2,'2022-11-27','Hardcover',47,'FatimaBoyle19.jpg'),
(20,'Amusing Technology','Robin Lamb',454,1,'2021-02-04','Hardcover',51,'RobinLamb20.jpg'),
(21,'Painting The Mountains','Amaia Crosby',79,5,'2019-03-19','Paperbacks',69,'AmaiaCrosby21.jpg'),
(22,'Separated By The Town','Tristen Reyes',340,1,'2021-09-05','Paperbacks',14,'TristenReyes22.jpg'),
(23,'Ending The Beginning','Audrey Bradshaw',370,5,'2021-10-08','Kindle',56,'AudreyBradshaw23.jpg'),
